地區,國家名稱,館處中文名稱,館處外文名稱,駐外館處休假日編號(系統用),網址,館址(外文),信箱號碼,電話,緊急聯絡電話(中文),緊急聯絡電話(英文),傳真,主管(中文),主管(英文),職稱,EMAIL,上班時間,時差,轄區(中文),領務服務時間,所屬單位,消息來源
亞太地區,索羅門群島,駐索羅門群島大使館,"Embassy of the Republic of China (Taiwan) , Honiara, Solomon Islands",303430000B,http://www.taiwanembassy.org/SB,"1st Floor East Wing, Panatina Plaza, Honiara, Solomon Islands","P.O.Box 586. Honiara , Solomon Islands",(002-677) 38050；38051；38052,(002-677）7494123 　 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-677）7494124；7494123 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-677) 38060,烏元彥,"WU, YUAN-YEN",大使,taiwanembassy04@gmail.com,,較台灣時間快3小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,泰王國(泰國),駐泰國代表處 (駐泰國台北經濟文化辦事處),Taipei Economic and Cultural Office in Thailand,304150000B,http://www.taiwanembassy.org/TH,"20th FL.,Empire Tower 195 South Sathorn Road, Yannawa Bangkok 10120,Thailand",,(002-66) 2670-0200~9,(002-66) 81666-4006、81666-4008 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-66) 81666-4006、81666-4008 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-66) 2670-0220,陳銘政,Henry M. J. Chen,代表,tecocomu.th@gmail.com,08:30-12:30，13:30-17:30,較台灣時間慢1小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),09:00-11:30，12:30-15:00,人事處,人事處
亞太地區,吐瓦魯國,駐吐瓦魯國大使館,"Embassy of the Republic of China (Taiwan), Funafuti, Tuvalu",303410000B,,"Palagi Road, Fakaifou, Funafuti, Tuvalu","P.O. BOX 130, Funafuti, Tuvalu",(002-688) 20278,(002-688) 900580 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-688) 900580 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-688) 20277,曾瑞利,"Tseng, Ruey-li",大使,tuv@mofa.gov.tw,星期一至星期五08:00-12:30，14:00-17:30,較台灣快四小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,越南社會主義共和國,駐越南代表處 (駐越南台北經濟文化辦事處),"Taipei Economic and Cultural Office, Hanoi, Vietnam",303890000B,http://www.taiwanembassy.org/VN,"5F., HITC Building, 239 Xuan Thuy St., Cau Giay Dist., Hanoi, Vietnam","GPO Box 104, Hanoi,Vietnam",(002-84) 4-3833-5501,(002-84) 913-219-986 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-84) 913-219-986 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-84) 4-3833-5508,黃志鵬,"Huang, Chih-peng",代表,tecohn@netnam.vn ; vnm@mofa.gov.tw,週一至週五 08:00 - 17:00,較台灣時間慢1小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),.,人事處,人事處
亞太地區,越南社會主義共和國,駐胡志明市辦事處 (駐胡志明市台北經濟文化辦事處),Taipei Economic and Cultural Office in Ho Chi Minh City,303900000B,http://www.roc-taiwan.org/VN/SGN,"19F,Flemington Tower,182 Le Dai Hanh, Dist.11, Ho Chi Minh City, Vietnam",,(002-84) 8-3962-1745~50,(002-84) 903-927019 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-84) 903-927019 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-84) 8-3965-1577,陳柏秀,"Chen, Bor-show",處長,suggest@tecohcm.org.vn,週一至週五08:00-12:00，13:30-17:30,較台灣時間慢1小時,(中文) 領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五08:00-11:00（收件），14:30-16:30（發件）,人事處,人事處
歐洲地區,奧地利共和國,駐奧地利代表處 (駐奧地利台北經濟文化代表處),"Taipei Economic and Cultural Office, Vienna, Austria",304460000B,http://www.taiwanembassy.org/AT,"Wagramer Strasse 19/11, A-1220, Vienna, Austria",,(002-43) 1-212-4720,(002-43) 664-345-0455 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-43) 664-345-0455 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-43) 1-212-4703,陳連軍,"Chen, Lien-gene",代表,information@taipei.at,(駐地時間) 09:00-17:00，(台灣時間) 15:00-23:00,"較台灣時間慢7小時, 自3月底至10月底日光節約時間慢6小時",領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),09:00-12:00,人事處,人事處
歐洲地區,瑞士聯邦,中華民國常駐世界貿易組織代表團,"Permanent Mission of the Separate Customs Territory of Taiwan, Penghu, Kinmen and Matsu to the World Trade Organization",304510000B,http://www.taiwanembassy.org/WTO,"Avenue de Tournay 7,1292 Chamb?sy,Geneva,Switzerland",,(002-41) 22-545-5353,(002-41) 79-8273768 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-41) 79-8273768 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-41) 22-545-5354,賴幸媛,"Lai,Shin-yuan",常任代表,post@taiwanwto.ch,週一至週五09:00-12:30，13:30-18:00,較台灣慢7小時(4月至10月6小時),領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,瑞士聯邦,駐瑞士代表處 (駐瑞士台北文化經濟代表團),D?l?gation Culturelle et ?conomique de Taipei,304510000B,http://www.taiwanembassy.org/CH,"Kirchenfeldstrasse 14, CH-3005 Berne, Switzerland",,(002-41) 31-382-2927,(002-41) 76-336-6979；76-348-8036 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-41) 76-336-6979；76-348-8036 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-41) 31-382-1523,章文樑,"Chang, Wen-Liang",代表,che@mofa.gov.tw,週一至週五 08:30-12:30，13:30-17:30,較台灣時間慢7小時（3月下旬-9月下旬慢6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:00-12:00 ，14:00-17:00,人事處,人事處
歐洲地區,瑞士聯邦,駐日內瓦辦事處(駐瑞士台北文化經濟代表團日內瓦辦事處),"Bureau de Geneve, D?l?gation Culturelle et ?conomique de Taipei",303190000B,,"56, rue de Moillebeau 1209 Geneva, Switzerland",,(002-41) 22-919-7070,(002-41) 79-775-5751(瑞士境內直撥079-775-5751) ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-41) 79-775-5751；79-328-2993 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-41) 22-919-7077,俞大@,"Yui, Alexander Tah-ray",處長,gva@mofa.gov.tw,週一至週五，09:00-17:30,較台灣慢7小時（3月最尾週末-10月最尾週末慢6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,德意志聯邦共和國,駐德國代表處 (駐德國台北代表處),Taipeh Vertretung in der Bundesrepublik Deutschland,304380000B,http://www.taiwanembassy.org/DE,"Markgrafenstrasse 35, 10117 Berlin, Germany",,(002-49) 30-203-610,(002-49) 171-389-8257；171-389-8467 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-49) 171-389-8257；171-389-8467 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-49) 30-203-611-01,魏武煉,"Wei, Wu-lien",代表,deu@mofa.gov.tw,週一至週五09:00-17:30,較台灣時間慢7小時（4-10月慢6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:00-12:30、14:00-17:00,人事處,人事處
歐洲地區,德意志聯邦共和國,駐法蘭克福辦事處,"Taipeh Vertretung in der Bundesrepublik Deutschland, B?ro Frankfurt am Main",-,,"Rheinstr. 29, 60325 Frankfurt/Main",,(002-49) 69-745-734,(002-49) 171-314-7552 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-49) 171-314-7552 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-49) 69-745-745,黃瑞坤,"Huang,Jui-kun",處長,taipehvertretungfrankfurt@gmail.com,週一至週五09:00-17:30,較台灣時間慢7小時（4-10月慢6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,教廷,駐教廷大使館,Embassy of the Republic of China ( Taiwan ) to the Holy See,303270000B,http://www.taiwanembassy.org/VA,"Via della Conciliazione 4/D, 00193 Rome, Italy",,(002-39) 06-6813-6206,(002-39) 347-174-8814 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-39) 347-174-8814 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-39) 06-6813-6199,王豫元,"Wang, Larry Yu-yuan",大使,taiwan@embroc.it,週一至週五9:00-13:00，14:00-18:00,3月至9月較台灣慢7小時；4月至10月止日光節約時間，較台灣慢6小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五9:00-13:00，14:00-17:00,人事處,人事處
歐洲地區,拉脫維亞共和國,駐拉脫維亞代表處 (駐拉脫維亞臺北代表團),Taipei Mission in the Republic of Latvia,303740000B,http://www.roc-taiwan.org/LV,"World Trade Center, Room 602, 2 Elizabetes Street, Riga, LV－1340, Latvia",,(002-371) 6732-0610,(002-371) 2910-6954 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-371) 2910-6954 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line",(002-371) 6732-3268,葛光越,"Ko, Kuang-yueh",代表,tmil@tmil.lv,週一至週五 09:00 - 17:00,較台灣時間慢6小時（3-10月慢5小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,波蘭共和國,駐波蘭代表處 (駐波蘭台北經濟文化辦事處),Taipei Economic and Cultural Office in Warsaw,303880000B,http://www.roc-taiwan.org/PL,"30th Floor, Ul. Emilii Plater 53, 00-113 Warsaw, Poland",,(002-48) 22-213-0060,(002-48) 668-027-574 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-48) 668-027-574 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-48) 22-213-0070,江國強,Jack K. C. Chiang,代表,biuro@taiwan.net.pl,週一至週五 (駐地) 09:00-17:00,1.較台灣時間慢7小時 2.自 4月至 10月止日光節約時間慢6 小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週四 (駐地) 09:00-13:00,人事處,人事處
歐洲地區,大不列顛暨北愛爾蘭聯合王國,駐英國代表處 (駐英國台北代表處),Taipei Representative Office in the U.K.,304370000B,http://www.taiwanembassy.org/UK,50 Grosvenor Gardens London SW1W 0EB United Kingdom,,(002-44) 20-7881-2650,(002-44) 7768-938-765 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-44) 7768-938-765 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-44) 20-7730-3139,沈呂巡,"Shen, Lyushun",代表,tro@taiwan-tro.uk.net,週一至週五09:00-17:00,較台灣國內時間慢8小時（4-10月慢7小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:30-12:30,人事處,人事處
歐洲地區,德意志聯邦共和國,駐漢堡辦事處 (駐德國代表處漢堡辦事處),"Taipeh Vertretung in der Bundesrepublik Deutschland, B?ro Hamburg",304390000B,http://www.taiwanembassy.org/DE/HAM,"Mittelweg 144 / 2.O.G., 20148 Hamburg, Federal Republic of Germany",,(002-49) 40-447-788,(002-49) 171-521-7081；171-742-9722 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-49) 171-521-7081；171-742-9722 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-49) 40-447-187,張維達,"Chang, Wei-ta",處長,Taipehvertretung@taipei-hamburg.de,週一至週五09:00-17:00,較台灣時間慢7小時（4-10月慢6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:00-12:00,人事處,人事處
歐洲地區,大不列顛暨北愛爾蘭聯合王國,駐愛丁堡辦事處 (駐英國台北代表處愛丁堡辦事處),Taipei Representative Office in the U.K. Edinburgh Office,303180000B,http://www.taiwanembassy.org/uk/edi,"Taipei Representative Office in the U. K. Edinburgh Office, 1 Melville Street Edinburgh EH3 7PE U.K.",,(002-44-131) 220-6886,(002-44) 7900-990385 　※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-44) 7900-990385 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-44-131) 226-6884,蘇仁崇,"Su, Jen-chung",處長,reception.troedi@gmail.com,週一至週五，09:00-17:00,較台灣時間慢8小時（4-10月慢7小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,德意志聯邦共和國,駐慕尼黑辦事處,"Taipeh Vertretung in der Bundesrepublik Deutschland, B?ro M?nchen",304410000B,http://www.taiwanembassy.org/DE/MUC,"Sonnenstrasse 25/IV, 80331 Muenchen, Germany",,(002-49) 89-512-6790,(002-49) 175-570-8059 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-49) 175-570-8059 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-49) 89-512-67979,鄭兆元,"Cheng, Chao-yuan",處長,muc@mofa.gov.tw,週一至週五 09:00-17:30,7小時（夏令時間4至10月：6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五 09:00-12:00，14:00-17:00,人事處,人事處
歐洲地區,法蘭西共和國,駐法國代表處 (駐法國台北代表處),Bureau de Repr?sentation de Taipei en France,304420000B,http://www.taiwanembassy.org/FR,"78, rue de l'Universit? 75007 Paris, France",,(002-33) 1-4439-8830,(002-33) 680-074-994(法國境內直撥0680-074-994) ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-33) 680-074-994 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-33) 1-4439-8871,呂慶龍,Michel Ching-long Lu,代表,taiwan.brtf@gmail.com,週一至週五09:00-12:30，13:30-17:30,4-9月較台灣國內時間慢6小時，10-3月慢7小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,希臘共和國,駐希臘代表處 (駐希臘台北代表處),Taipei Representative Office in Greece,304440000B,http://www.roc-taiwan.org/GR,"57, Marathonodromon Ave. 154 52 Psychico, Athens, Greece","P. O. Box 65281, 154 52 Psychico, Athens, Greece",(002-30) 210-677-6750,(002-30) 695-185-3337 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-30) 695-185-3337 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-30) 210-677-6708,陳華玉,Agnes Hwa-yue Chen,代表,taipeigreece@gmail.com,週一至週五09:00-17:00,較台灣時間慢6小時（4-10月慢5小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五10:00-14:30，旅外國人領務採「隨到隨辦」服務方式,人事處,人事處
歐洲地區,西班牙王國,駐西班牙代表處 (駐西班牙台北經濟文化辦事處),"Oficina Econ?mica y Cultural de Taipei, Espa?a",304450000B,http://www.taiwanembassy.org/ES,"Calle Rosario Pino 14-16, Piso 18 Dcha. 28020 Madrid, Espana","Apartado 36016 ,28080 Madrid, Spain",(002-34) 91-571-8426,(002-34) 639-384-883 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-34) 639-384-883 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-34) 91-570-9285,侯清山,Javier Ching-shan Hou,代表,esp@mofa.gov.tw,週一至週五09:00-17:00,較台灣時間慢6小時（10-次年3月慢7小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,瑞典王國,駐瑞典代表處 (駐瑞典台北代表團),Taipei Mission in Sweden,304470000B,http://www.taiwanembassy.org/SE,"Wenner-Gren Center, 18tr Sveavagen 166 , S-11346 Stockholm Sweden",,(002-46) 8-7288-513,(002-46) 70-6755-089 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-46) 70-6755-089 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-46) 8-315-748,鄭天授,Thomas T. S. Cheng,代表,taipei.mission@tmis.se,週一至週五09:00-12:00，13:00-17:00,較台灣時間慢7小時（3-10月慢6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,挪威王國,駐挪威代表處 (駐挪威台北代表處),Taipei Representative Office in Norway,304480000B,http://www.roc-taiwan.org/NO,"Haakon VII's gate 1, 2nd floor 0161 Oslo Norway","P.O.Box 1563, Vika, 0118 Oslo Norway",(002-47) 2311-1730,(002-47) 9069-8853 9709-1952 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-47) 9069-8853 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-47) 2311-1731,于德勝,Victor Te-Sun Yu,代表,nor@mofa.gov.tw,週一至週五09:00-17:00,較台灣時間慢7小時（3-10月慢6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:00-17:00,人事處,人事處
歐洲地區,荷蘭王國,駐荷蘭代表處,Taipei Representative Office in the Netherlands,304500000B,http://www.taiwanembassy.org/NL,"Van Stolkweg 23, 2585 JM Den Haag, The Netherlands",,(002-31) 70-346-9438,(002-31) 65-494-8849 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-31) 65-494-8849 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-31) 70-360-3836,李光章,"Lee, James Kuang-jang",代表,tperep@xs4all.nl,週一至週五09:00-17:00,較台灣慢7小時(3月底至10月底較台灣慢6小時),領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:30-16:00,人事處,人事處
歐洲地區,愛爾蘭共和國,駐愛爾蘭代表處 (駐愛爾蘭台北辦事處),Taipei Representative Office in Ireland,304540000B,http://www.taiwanembassy.org/IE,"8 Lower Hatch St., Dublin 2, Ireland",,(002-353) 1-678-5413；1-678-5580,(002-353-87)282-5680 　※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-353-87)282-5680 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-353) 1-676-1686,曾厚仁,"Tseng, Harry H.J.",代表,twnirl@gmail.com,週一至週五09:00-17:30,較台灣時間慢8小時(4-10月慢7小時),領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:30-12:30，14:00-17:00,人事處,人事處
歐洲地區,匈牙利,駐匈牙利代表處 (駐匈牙利台北代表處),"Taipei Representative Office, Budapest, Hungary",304550000B,http://www.taiwanembassy.org/HU,"1088 Budapest R?k?czi ?t 1-3/II em, Hungary",,(002-36) 1-266-2884,(002-36) 30-964-1546 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-36) 30-964-1546 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-36) 1-266-4003,高青雲,"Kao Liau, Marietta",代表,taipeirepoffice@gmail.com,週一至週五08:30-17:30,較台灣時間慢7小時（4-9月慢6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,芬蘭共和國,駐芬蘭代表處 (駐芬蘭台北代表處),Taipei Representative Office in Finland,304560000B,http://www.taiwanembassy.org/FI,"World Trade Center-Helsinki Aleksanterinkatu 17, 00100, Helsinki Finland","World Trade Center, P. O. Box 800, FIN-00101 Helsinki, Finland",(002-358) 9-6829-3800,(002-358) 40-5455-429 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-358) 40-5455-429 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-358) 9-6829-3806,林錦蓮,"Lin, Ching-lien",代表,info@taipeioffice.fi,週一至週五09:00-12:00，13:00-17:00,較台灣時間慢6小時（4-10月慢5小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,義大利共和國,駐義大利代表處 (駐義大利台北代表處),Ufficio di Rappresentanza di Taipei in Italia,304570000B,http://www.taiwanembassy.org/IT,"Viale Liegi, 17, 00198 Roma, Italia",,(002-39) 06-9826-2800,(002-39) 366-8066-434 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-39) 366-8066-434 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-39) 06-9826-2806,賴建中,"LAI, Chien-Chung",代表,ita@mofa.gov.tw,週一至週五，09:00-17:30；中午不休息,較台灣慢7小時（33月最尾週日-10月最尾週日慢6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
歐洲地區,丹麥王國,駐丹麥代表處 (駐丹麥台北代表處),Taipei Representative Office in Denmark,304590000B,http://www.taiwanembassy.org/DK,"Amaliegade 3, 2F., 1256 Copenhagen K Denmark",,(002-45) 3393-5152,(002-45) 2076-0466 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-45) 2076-0466 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-45) 3393-2235,徐儷文,"Hsu,Lily L.W.",代表,tro.denmark@gmail.com.,週一至週五09:00-17:00,較台灣時間慢7小時（10-3月慢6小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五10:00-13:00,人事處,人事處
